[2009-15-25 06:15,     0]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [main] - org.sqlite.JDBC
 [2009-15-25 06:15,  1589]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [main] - jdbc:sqlite:.\estadisticas.db3
 [2009-15-25 06:15,  1687]WARN  josejamilena.pfc.servidor.conexion.Estadisticas [main] - La tabla donde se guardan las estadisticas, ya existe.
 [2009-15-25 06:15,  1801]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [main] - 0
 [2009-15-25 06:15,  1939]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [main] - 0
 [2009-15-25 06:15,  1943]INFO  josejamilena.pfc.servidor.tareas.CargarTareas [main] - Programación SQL: ejemplo.sql * * * * *
 [2009-15-25 06:15,  1945]INFO  josejamilena.pfc.servidor.tareas.CargarTareas [main] - Programación PLSQL: ejemplo_1.sql * * * * *
 [2009-17-25 06:17,     0]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [main] - org.sqlite.JDBC
 [2009-17-25 06:17,   278]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [main] - jdbc:sqlite:.\estadisticas.db3
 [2009-17-25 06:17,   286]WARN  josejamilena.pfc.servidor.conexion.Estadisticas [main] - La tabla donde se guardan las estadisticas, ya existe.
 [2009-17-25 06:17,   299]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [main] - 0
 [2009-17-25 06:17,   308]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [main] - 0
 [2009-17-25 06:17,   311]INFO  josejamilena.pfc.servidor.tareas.CargarTareas [main] - Programación SQL: ejemplo.sql * * * * *
 [2009-17-25 06:17,   313]INFO  josejamilena.pfc.servidor.tareas.CargarTareas [main] - Programación PLSQL: ejemplo_1.sql * * * * *
 [2009-18-25 06:18,     0]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [main] - org.sqlite.JDBC
 [2009-18-25 06:18,    92]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [main] - jdbc:sqlite:.\estadisticas.db3
 [2009-18-25 06:18,    99]WARN  josejamilena.pfc.servidor.conexion.Estadisticas [main] - La tabla donde se guardan las estadisticas, ya existe.
 [2009-18-25 06:18,   446]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [main] - 0
 [2009-18-25 06:18,   529]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [main] - 0
 [2009-18-25 06:18,   533]INFO  josejamilena.pfc.servidor.tareas.CargarTareas [main] - Programación SQL: ejemplo.sql * * * * *
 [2009-18-25 06:18,   535]INFO  josejamilena.pfc.servidor.tareas.CargarTareas [main] - Programación PLSQL: ejemplo_1.sql * * * * *
 [2009-19-25 06:19, 46011]WARN  josejamilena.pfc.servidor.conexion.Estadisticas [cron4j::scheduler[ec6558eb012f668401cafa9e000001221835d58304584990]::executor[ec6558eb012f668401ddebc30000012218367f786fdded9e]] - La tabla no existe. No es necesario borrarla.
 [2009-19-25 06:19, 46011]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [cron4j::scheduler[ec6558eb012f668401cafa9e000001221835d7606d590337]::executor[ec6558eb012f66840107077e0000012218367f7833b93d39]] - 0
 [2009-19-25 06:19, 46019]WARN  josejamilena.pfc.servidor.conexion.Estadisticas [cron4j::scheduler[ec6558eb012f668401cafa9e000001221835d7606d590337]::executor[ec6558eb012f66840107077e0000012218367f7833b93d39]] - La tabla donde se guardan las estadisticas, ya existe.
 [2009-19-25 06:19, 46019]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [cron4j::scheduler[ec6558eb012f668401cafa9e000001221835d58304584990]::executor[ec6558eb012f668401ddebc30000012218367f786fdded9e]] - 0
 [2009-19-25 06:19, 46262]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [cron4j::scheduler[ec6558eb012f668401cafa9e000001221835d7606d590337]::executor[ec6558eb012f66840107077e0000012218367f7833b93d39]] - 1
 [2009-19-25 06:19, 47058]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [cron4j::scheduler[ec6558eb012f668401cafa9e000001221835d7606d590337]::executor[ec6558eb012f66840107077e0000012218367f7833b93d39]] - 1
 [2009-19-25 06:19, 47116]DEBUG josejamilena.pfc.servidor.tareas.TaskPLSQL [cron4j::scheduler[ec6558eb012f668401cafa9e000001221835d7606d590337]::executor[ec6558eb012f66840107077e0000012218367f7833b93d39]] - Script: ejemplo_1.sql lanzado: Thu Jun 25 18:19:03 CEST 2009
 [2009-19-25 06:19, 47117]DEBUG josejamilena.pfc.servidor.tareas.TaskPLSQL [cron4j::scheduler[ec6558eb012f668401cafa9e000001221835d7606d590337]::executor[ec6558eb012f66840107077e0000012218367f7833b93d39]] - 179.0
 [2009-19-25 06:19, 54484]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [cron4j::scheduler[ec6558eb012f668401cafa9e000001221835d58304584990]::executor[ec6558eb012f668401ddebc30000012218367f786fdded9e]] - 1
 [2009-19-25 06:19, 54490]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [cron4j::scheduler[ec6558eb012f668401cafa9e000001221835d58304584990]::executor[ec6558eb012f668401ddebc30000012218367f786fdded9e]] - 1
